cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,n_draws,primitive_step,point,low,high,method,n_seeds,limit
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,156028.73453426867,8.980545696029843,3.297537496723675,14.03430129298663,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,160446.31020798293,8.80820641624744,4.739051190472544,12.870375798533775,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,164988.95883631185,8.34598656097505,4.526428422036187,13.159985324241102,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,169660.2215570042,8.153823452036082,4.682478847692984,13.942348634260824,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,174463.73976654644,9.019619286356063,4.842947463155087,14.349719910882015,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,179403.25795874608,8.93128849296088,5.0876816267147635,14.681852111252804,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,184482.62664368263,8.840456827112252,6.368396032144523,14.903224864761823,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,189705.8053493014,8.747686255635058,6.141498608047268,14.829425165570521,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,195076.86570799057,8.64499283354642,6.058057531781503,14.600183771792022,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,200599.99463054663,8.610537832373616,5.881895586134265,14.226524914377647,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,206279.49757000347,8.5896721433385,5.840462798886181,14.144512751242983,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,212119.80187786868,8.506312183367886,5.9059907307399255,13.854743633675213,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,218125.46025538343,8.439143001152617,5.973373927257386,13.934008640169061,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,224301.15430249675,8.370072086245207,6.042664915763555,13.445628042287392,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,230651.69816732,8.278784553322858,5.955548406159171,13.263610621399458,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,237182.04229890718,8.147048628376542,5.704049328788945,12.807503146253975,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,243897.27730628583,8.196761815718443,5.11501738918987,13.611399691921909,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,250802.63792674738,8.417884734183076,5.072518485396125,13.918701586225172,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,257903.50710648956,8.198268988922655,5.028816328085524,13.780794645392948,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,265205.42019679275,8.934469738267675,4.904781577632725,13.514893437335372,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,272714.06926900015,8.738139175551598,4.781854159210333,13.153976697483666,median-range,5,9996584
