cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,primitive_step,point,low,high,method,n_seeds,limit
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,12887.673514971424,29.514577686786513,16.858199385294217,44.391518997561384,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,13390.082919824976,28.313083525069043,16.711250218442892,44.74088910524488,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,13912.07811025822,27.241151276006224,16.558572426997245,45.103878958002696,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,14454.422612974811,26.188784950568625,16.399942687882728,45.28501684014632,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,15017.909719786618,25.095393475119522,16.235128972061474,44.21251144009818,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,15603.363647968246,23.95937753685995,16.063890205141494,43.09819579407242,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,16211.640745846502,22.968130553255612,15.885975914755138,42.026085788841065,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,16843.6307453882,22.160106809549333,15.701125864191113,41.155999135762926,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,17500.25806361851,21.3205832976567,15.50906967174406,40.25199327166224,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,18182.48315477342,20.44204764468954,15.309526415224996,39.312745899647865,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,18891.303915164146,19.525469075218776,12.877436845021728,38.33688317478211,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,19627.757142808332,18.57315886705819,14.13519658601997,37.32952716777425,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,20392.920053963153,23.90141726619147,13.51067576398698,36.28628671532998,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,21187.91185877847,24.10715437079435,13.90960888798034,35.20237687331568,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,22013.895398374832,23.898710528560095,13.948822974930662,34.910719162875104,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,22872.078845740845,22.64108778583081,13.694734368859107,34.607968080607094,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,23763.71747293784,18.82212747615757,13.430740444716903,34.22628866188501,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,24690.115487196745,18.478593199320983,13.156455056396997,32.640664496044515,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,25652.627938592865,17.927984045738867,14.416040486497213,31.983391852427143,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,26652.66270208886,18.268774462623565,16.803549306592103,31.75071592451208,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,27691.682536845172,25.41158880234018,17.456698924669862,38.287805497071155,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,28771.20722581001,25.506114267928364,17.656590944256344,37.235882985726946,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,29892.81579871848,25.180652005735414,17.28719193632227,35.34424144916047,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,31058.148841752532,25.25940059726619,16.913483839150064,33.60269814901254,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,32268.910897239977,25.771615884485612,19.678535503654352,37.44944609146801,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,33526.872956902735,30.16002254883469,20.888145391036055,37.29580482430022,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,34833.87505230114,29.870311085488805,21.790161107411805,36.76444747228163,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,36191.82894626339,29.569305592719395,21.588535322066125,36.4134749920647,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,37602.72092923694,28.975885101388485,21.541090961561768,36.33692920305789,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,39068.61472465204,28.418771424090572,21.327444872491075,36.25739937474761,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,40591.654507547064,27.727762347895187,21.105470064948854,36.174769178192975,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,42174.068040871505,27.413270262876466,21.1443329913575,36.08891774951869,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,43818.169934052836,27.08651810771539,21.28817311278265,36.000431655176826,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,45526.365028595326,26.53282874495655,21.98505427080423,35.816767925138144,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,47301.15191566156,26.447038921370435,21.68827978557002,35.53655838709084,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,49145.12659078256,25.920082335452424,21.985873917048544,33.89784107179598,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,51060.986251041984,28.35230974320116,25.58027330114706,32.80268113778775,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,53051.53324028873,26.29192376476641,25.328360236551646,31.776444944491328,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,55119.67914814858,25.511257059168333,25.093299355333457,31.730400107993287,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,57268.44906883053,26.878499894294187,25.301684960826112,30.923938241477444,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,59500.98602595727,26.95938759421105,25.46889990388455,30.683340166092993,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,61820.5555698919,26.937290535135848,24.792249521397622,30.739093406320144,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,64230.55055428565,27.2646039825466,24.43053751392293,30.345066683805122,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,66734.49609883307,26.454421042410157,24.000094581962134,30.64645610676296,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,69336.05474549397,28.097525195586307,24.81329839054963,30.065421483970464,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,72039.03181572387,29.788055045124953,25.495720273437744,31.794377766484907,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,74847.38097654944,30.042923194427622,24.959535530900638,31.504330286366244,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,77765.21002363006,30.111091283916537,24.58454385887002,31.531210978627843,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,80796.7868897647,30.00539912076351,24.922318536199622,31.153093531392777,median-range,5,10002198
